country_code,female,age,educ,inc_q,urbanicity,account_mob,dig_account,anydigpayment,internet_use,wgt,mmpi_2023,reg_index,reg_cons_prot,reg_kyc_prop,reg_entry_lim,reg_max_lim,reg_agent_el,num_providers,earliest_launch
KEN,1,34,1.0,3,1,1,1,1,1,1.15541608162819,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,23,2.0,4,1,1,1,1,1,0.573048860322131,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,35,1.0,3,1,1,1,1,1,1.54231606745861,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,54,2.0,2,1,1,1,1,1,1.48992661090844,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,21,2.0,3,2,1,1,1,1,1.05796785836671,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,47,1.0,4,1,1,1,1,0,0.79196127609382,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,27,2.0,2,1,1,1,1,1,1.91438915518034,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,21,2.0,2,1,1,1,1,1,1.34109464924282,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,38,1.0,2,2,1,1,1,0,1.17096737426991,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,31,2.0,3,2,1,1,1,1,1.10244191324164,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,34,1.0,3,1,1,1,1,0,0.770277387752127,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,24,3.0,4,1,1,1,1,1,0.878398085019218,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,32,3.0,5,1,1,1,1,1,0.349161563240163,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,37,2.0,4,1,1,1,1,0,0.670284682349791,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,21,2.0,4,1,1,1,1,1,0.742313018559328,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,59,2.0,3,1,1,1,1,0,2.9111483478594,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,43,2.0,4,1,1,1,1,1,1.00033958886412,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,63,2.0,5,1,1,1,1,1,0.782059738139527,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,20,2.0,1,1,1,1,1,0,0.912846785851527,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,34,2.0,2,1,1,1,1,1,0.331404980501671,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,26,2.0,5,2,1,1,1,1,0.915323521199754,Very high,88.0,100.0,0,100,100,100,4,2007
